nullremote_url,video_duration,audio_only,reference_id,remote_stream_name,current_filename,type,controller_type,account_id,size,updated_at,uploaded_at,cdn_origin_id,progressive_download,name,id,complete,video_codec,video_container
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_portadelaide_vod/2019/06/993834/VOD_Source/2019-06-11_12-03-52-9701/output_700kbps_360p.mp4,139400,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:05:04.608Z,2019-11-07T01:05:04.607Z,,true,,6101266613001,true,H264,MP4
341000,,,FULL_LENGTH,DEFAULT,2019-11-07T01:04:47.280Z,6101267046001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/993783/VOD_Source/993797/2019-06-10_07-54-53-0627/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:04:47.280Z,,true,MP4,,true
341000,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:04:46.666Z,6101267613001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993797/index.m3u8,,false,,6057984922001,0,2019-11-07T01:04:46.666Z,,false,,,true
341000,,,FULL_LENGTH,DEFAULT,2019-11-07T01:03:53.046Z,6101266605001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/993783/VOD_Source/993787/2019-06-10_06-58-22-9377/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:03:53.046Z,,true,MP4,,true
341000,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:03:52.127Z,6101267182001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993787/index.m3u8,,false,,6057984922001,0,2019-11-07T01:03:52.126Z,,false,,,true
397000,,,FULL_LENGTH,DEFAULT,2019-11-07T01:04:02.550Z,6101266260001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/993714/VOD_Source/993727/2019-06-09_06-58-52-4999/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:04:02.550Z,,true,MP4,,true
397000,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:04:01.900Z,6101267597001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993727/index.m3u8,,false,,6057984922001,0,2019-11-07T01:04:01.900Z,,false,,,true
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993711/index.m3u8,397000,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:05:58.065Z,2019-11-07T01:05:58.065Z,,false,,6101266366001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/993714/VOD_Source/993711/2019-06-09_06-42-53-0936/output_700kbps_360p.mp4,397000,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:05:58.675Z,2019-11-07T01:05:58.675Z,,true,,6101267519001,true,H264,MP4
291000,,,FULL_LENGTH,DEFAULT,2019-11-07T01:05:54.124Z,6101266364001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/993658/VOD_Source/993662/2019-06-08_10-44-52-9233/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:05:54.124Z,,true,MP4,,true
291000,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:05:53.469Z,6101267809001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993662/index.m3u8,,false,,6057984922001,0,2019-11-07T01:05:53.468Z,,false,,,true
